ten_benh,trieu_chung_goc,symptoms_extract,negated_symptoms,duration,icd_code,icd_name,confidence
bệnh cơ tim hạn chế,"bệnh nhân có thể không xuất hiện triệu chứng ở giai đoạn đầu. nhưng khi bệnh diễn tiến xấu đi, người bệnh có thể xuất hiện các triệu chứng suy tim, bao gồm: ho. khó thở, đau ngực khi hoạt động hoặc khi nằm thẳng. mệt mỏi, giảm khả năng vận động thể dục. ăn uống không ngon miệng. sưng bụng, bàn chân và mắt cá chân. mạch không đều hoặc nhanh. giảm khả năng tập trung. lượng nước tiểu thấp. ngất xỉu. nhịp tim bất thường. đi tiểu nhiều vào ban đêm ở bệnh nhân lớn tuổi. (1)","suy tim
ngất xỉu
tiểu nhiều ban đêm
mệt mỏi
khó thở
đau ngực hoạt động
tiểu thấp
giảm khả năng vận động thể
ho
giảm khả năng tập trung
sưng bụng",Không có,không có,I42.5,Bệnh lý cơ tim hạn chế,0.9527
bệnh cơ tim xốp,"biểu hiện lâm sàng của bệnh cơ tim không lèn chặt khác nhau về mức độ nghiêm trọng của bệnh. người bệnh có thể không có triệu chứng hoặc xuất hiện các triệu chứng chủ yếu liên quan đến thay đổi tim, triệu chứng cơ xương hoặc triệu chứng liên quan đến bệnh bẩm sinh như dị tật ebstein, van động mạch chủ hai mảnh, bất thường động mạch cảnh các triệu chứng về tim liên quan đến bệnh cơ tim không lèn chặt đều liên quan đến suy tim, xảy ra ở một nửa số bệnh nhân. rung nhĩ có thể ảnh hưởng đến 25 bệnh nhân ở độ tuổi trưởng thành và rối loạn nhịp nhanh thất lên tới khoảng 50 . (1) bệnh nhân mắc bệnh cơ tim không lèn chặt có thể gặp các triệu chứng bao gồm: cục máu đông. ngất xỉu. chóng mặt, choáng váng. khó thở, nhất là khi vận động thể lực. rối loạn nhịp tim. sưng phù chân. đột quỵ. ở những bệnh nhân không có triệu chứng, bệnh cơ tim không lèn chặt được xác định bằng siêu âm tim hoặc khi bệnh nhân và người nhà thực hiện sàng lọc di truyền.","sưng phù chân
ngất xỉu
phù chân
khó thở
rối loạn nhịp tim
chóng mặt
nhanh thất lên tới khoảng 50","yếu liên quan đến thay đổi
suy tim",không có,I42,Bệnh cơ tim (bao gồm cả bệnh cơ tim xốp và các biến chứng),0.656
bệnh động mạch cảnh,"bệnh động mạch cảnh đề cập đến sự thu hẹp của các động mạch cảnh, thường do sự tích tụ của các chất béo và cặn cholesterol (mảng bám). khi gặp phải tình trạng này, người bệnh có nguy cơ bị đột quỵ nguyên nhân tử vong đứng hàng thứ 5 ở mỹ. (2) dấu hiệu cảnh báo bệnh động mạch cảnh đau đầu, chóng mặt, suy giảm thị lực có thể là một dấu hiệu cảnh báo bệnh. triệu chứng của bệnh có thể không có. đôi khi, dấu hiệu đầu tiên của bệnh là cơn thiếu máu não thoáng qua (tia) hoặc đột quỵ. tia là tình trạng mất máu đột ngột, tạm thời đến một vùng não, thường kéo dài vài phút đến một giờ. các triệu chứng biến mất hoàn toàn trong vòng 24 giờ với sự phục hồi hoàn toàn. các triệu chứng của cơn thiếu máu não thoáng qua hoặc đột quỵ bao gồm: đột ngột yếu, vụng về hoặc liệt ở một bên tay hoặc chân mất khả năng chuyển động khả năng tập trung giảm, hay nhầm lẫn đau đầu, chóng mặt, ngất xỉu tê hoặc mất cảm giác ở mặt hoặc cánh tay, chân mờ mắt hoặc mất thị lực tạm thời không có khả năng nói rõ ràng hoặc nói lắp","đau đầu
chóng mặt
suy giảm thị lực
mất khả năng chuyển động
mất cảm giác
ngất xỉu
liệt
mờ mắt
mất thị lực
mất thị lực tạm thời
mất cảm giác ở mặt",Không có,kéo dài vài phút đến một giờ,S15.0,Tổn thương động mạch cảnh,0.7268
bệnh mạch vành,"cơn đau thắt ngực hoặc khó thở khi gắng sức là dấu hiệu thường gặp nhất trong bệnh mạch vành. người bệnh có cảm giác nặng, nghẹn, thắt, bóp nghẹt ở trong lồng ngực, thường bên ngực trái hoặc sau xương ức. tình trạng này xảy ra khi gắng sức, đi bộ leo dốc, căng thẳng, stress, cơn đau kéo dài vài phút (3 5 phút), thường dưới 15 phút và hiếm khi xảy ra chỉ vài giây. cơn đau thường lan lên cổ, hàm, hai vai, cánh tay trái hoặc lan sau lưng. đặc biệt cơn đau giảm khi ngồi nghỉ hoặc ngậm thuốc nitrate. nếu cơn đau kéo dài trên 15 phút, xảy ra lúc nghỉ là có khả năng đã bị nhồi máu cơ tim cấp, cần đến bệnh viện ngay để được điều trị tích cực sớm. (2) ngoài ra còn có các dấu hiệu khác gợi ý suy mạch vành như: khó thở hụt hơi chóng mặt hồi hộp tim đập không đều, gần ngất","đau thắt ngực
khoảng thở khi gắng sức
nặng
gò nghẹt
thắt
bóp nghẹt
nóng
nghẹn
thở hụt hơi
chóng mặt
hồi hộp
tim đập không đều
ngất","khó thở
chóng mặt
khó thở hụt hơi
hồi hộp
ngất","kéo dài vài phút, kéo dài trên 15 phút",I25.0,Bệnh tim mạch do xơ vữa động mạch vành,0.7516
bệnh phình động mạch chủ,"trong đa số trường hợp, người bệnh không biết mình bị phình động mạch chủ. bệnh lý này thường không gây ra bất kỳ triệu chứng nào cho đến khi khối phình bị vỡ. khi đó, bệnh nhân cần được điều trị ngay lập tức để tránh các biến chứng nguy hiểm tính mạng. các triệu chứng cho thấy khối phình động mạch chủ bị vỡ thường xuất hiện đột ngột, bao gồm: chóng mặt hoặc cảm giác lâng lâng; nhịp tim nhanh; đau ngực đột ngột, dữ dội, đi kèm là biểu hiện đau bụng hoặc đau lưng. việc phát hiện chứng phình động mạch chủ từ sớm sẽ ngăn ngừa được nguy cơ vỡ khối phình. các dấu hiệu cảnh báo chứng phình động mạch chủ phát triển là: khó thở hoặc hụt hơi; cảm giác nhanh no dù ăn ít; đau ở các vị trí khối phình động mạch đang phát triển, chẳng hạn như cổ, lưng, ngực, bụng khó nuốt; sưng cánh tay, cổ hoặc mặt.(2)","đau bụng
đau lưng
khó nuốt
sưng cánh tay
khó thở
đau ngực đột ngột
cảm giác lâng lâng","phình động mạch chủ
phình bị vỡ",đột ngột,I79.0,Phình động mạch chủ trong bệnh phân loại nơi khác,0.7577
bệnh tăng tiết mồ hôi,"có nhiều dấu hiệu giúp nhận biết tình trạng tăng tiết mồ hôi. nếu có 2 trong số những dấu hiệu dưới đây, bạn nên đi khám sớm: (3) tiết mồ hôi ở đối xứng hai bên cơ thể; mồ hôi tiết nhiều đến mức gây khó khăn trong sinh hoạt hàng ngày; tần suất ít nhất 1 lần tuần; xuất hiện triệu chứng trước 25 tuổi; có tiền sử gia đình (cha mẹ hoặc anh chị em ruột) mắc bệnh; mồ hôi đổ nhiều vào ban ngày, ban đêm không đổ mồ hôi hoặc mồ hôi tiết không đáng kể.",tăng tiết mồ hôi,đổ mồ hôi,"ban ngày, ban đêm",R61,Tăng tiết mồ hôi (bệnh),0.7997
bệnh thalassemia,ở trẻ em có thể bắt đầu biểu hiện các triệu chứng của bệnh thalassemia trong 2 năm đầu đời. một số dấu hiệu nhận biết bệnh bao gồm: (3) mệt mỏi; vàng da; da nhợt nhạt; kém ăn; chậm phát triển;,"mệt mỏi
vàng da
nhợt nhạt
chậm phát triển",Không có,2 năm,D56,Bệnh thalassaemia,0.6708
bệnh thấp tim,"thông thường, các đặc điểm lâm sàng của thấp khớp cấp xảy ra từ 2-3 tuần sau khi viêm họng do liên cầu khuẩn và các biểu hiện lâm sàng phổ biến nhất là viêm tim do thấp khớp và viêm khớp. (2) các dấu hiệu thường gặp của bệnh thấp tim bao gồm: viêm khớp: tình trạng này xảy ra ở hầu hết các trường hợp, người bệnh bị viêm đau chủ yếu gặp ở các khớp như gối, khuỷu tay, cổ tay, cổ chân. các khớp viêm thường bị sưng, nóng, đau khiến vận động khó khăn, nhiều trường hợp có thể bị tràn dịch khớp không hóa mủ. các khớp viêm thường không đối xứng và có tính di chuyển, ví dụ khớp này lành thì triệu chứng viêm lại chuyển qua bên khớp khác. thời gian viêm mỗi khớp thường dao động trong khoảng vài ngày, không quá 7 ngày, hiếm khi kéo dài quá 4 tuần và thường tự khỏi hoặc khỏi nhanh nếu dùng thuốc kháng viêm, không để lại di chứng. viêm khớp là dấu hiệu của bệnh thấp tim viêm khớp là tình trạng phổ biến ở bệnh nhân. viêm tim: chiếm 40-91 các triệu chứng và kết hợp siêu âm tim. triệu chứng tùy thuộc vào ảnh hưởng các tổ chức màng ngoài tim hay không, cơ tim, hoặc van tim. viêm cơ tim diễn tiến người bệnh có thể có triệu chứng suy tim mệt, khó thở, hồi hộp, cảm giác tim đập mạnh, khám lâm sàng có thể phát hiện âm thổi tâm thu hoặc tâm trương mới xuất hiện, có thay đổi ecg với dạng bất thường nhịp block nhĩ thất độ ii, iii có thể đặt máy tạo nhịp tạm thời nếu người bệnh có triệu chứng. viêm màng ngoài tim: người bệnh than phiền có đau ngực và thăm khám phát hiện tiếng cọ màng ngoài tim. tổn thương trên van tim: siêu âm tim giúp phát hiện tổn thương van nhạy và đặc hiệu hơn khi nghe tim. siêu âm tim được thực hiện trong những trường hợp nghi ngờ hoặc được chẩn đoán thấp khớp cấp. múa vờn: xuất hiện trễ hơn sau viêm khớp và viêm tim, thường từ 6-8 tuần sau khi nhiễm liên cầu khuẩn. múa vờn có thể kéo dài từ 1 tuần đến 2 năm nhưng thường kéo dài 8-15 tuần. người bệnh có những biểu hiện vung tay vung chân một cách vô thức. sang thương dưới da: người bệnh có xuất hiện một số nút ban hồng hình vòng trên da, đặc biệt ở quanh khớp, hoặc ban nút là các ban nổi lên ở dưới da, cứng và có đường kính từ 0,5 2cm thường di động dưới da và dính vào nền xương cạnh cột sống, bả vai, tồn tại vài ngày đến vài tuần rồi biến mất hiếm khi hơn 1 tháng. nhiều nốt sần có thể liên quan đến mức độ nghiêm trọng của bệnh viêm cơ tim do thấp khớp. các triệu chứng khác: sốt trong đợt viêm cấp, nhiệt độ từ 38-40 độ c. ở những nơi dịch bệnh lưu hành, sốt thấp khớp được nghi ngờ ở 90 bệnh nhân có biểu hiện sốt. tình trạng sốt giảm đi trong vào một tuần và hiếm khi kéo dài trên 4 tuần.","sốt
đau ngực
thăm khám phát
sưng
nóng
khó thở
cảm giác tim đập mạnh
âm thổi tâm thu
thay đổi ecg
thuốc kháng viêm
di chứng
đau ở quanh khớp
ban nổi lên ở dưới da
đường kính từ 0,5 2cm
nốt sần
suy tim mệt
hồi hộp
sang thương dưới da
biểu hiện sốt","nhanh nếu dùng thuốc kháng viêm
viêm thường không đối xứng
sốt",6-8 tuần,I09.8,Bệnh tim do thấp khác,0.8293
bệnh tim bẩm sinh,"ở trẻ sơ sinh, các biểu hiện bệnh tim bẩm sinh gồm khó thở, thở nhanh, bú ít, bú ngắt quãng, cử bú kéo dài. trẻ được vài tháng tuổi sẽ có những biểu hiện rõ rệt hơn như ho thường xuyên, thở khò khè và có những triệu chứng của viêm phổi. thêm vào đó, trẻ có thể chậm phát triển thể chất, xanh xao, hay vã mồ hôi, tay chân lạnh, một số trẻ tim bẩm sinh tím sẽ dễ quan sát thấy môi, đầu ngón tay-chân chuyển sang tím, tăng khi trẻ khóc các dị tật tim bẩm sinh cũng thường đi kèm với các bệnh lý có liên quan đến đột biến nhiễm sắc thể như hội chứng down, thiếu hoặc thừa ngón chân, sứt môi do đó, trong những trường hợp này trẻ cần được theo dõi kỹ, sát sao để sớm phát hiện những dị tật tim bẩm sinh nếu có. bệnh tim bẩm sinh nếu được phát hiện sớm và có biện pháp can thiệp đúng, kịp thời có thể giúp trẻ tăng trưởng, phát triển và có cuộc sống gần hoặc như những trẻ bình thường. do đó, ngay khi phát hiện trẻ có những triệu chứng bất thường kể trên, bố mẹ hãy đưa trẻ đến ngay cơ sở y tế để được chẩn đoán chính xác và có hướng xử trí hợp lý, kịp thời, đạt được hiệu quả điều trị cao nhất , bác sĩ vũ năng phúc nhấn mạnh.","khó thở
thở nhanh
bú ít
bú ngắt quãng
cử bú kéo dài
thở khò khè
viêm phổi
chậm phát triển thể chất
xanh xao
vã mồ hôi
tay chân lạnh
tim bẩm sinh tím
môi tím
thừa ngón chân
sứt môi
đột biến nhiễm sắc thể",Không có,thường xuyên,Q24.6,Nghẹt tim bẩm sinh,0.8314
bệnh tim bẩm sinh không tím,"những dấu hiệu nhận biết một đứa trẻ bị dị tật tim bẩm sinh không tím là: khó thở, đặc biệt là khi hoạt động thể chất tức ngư c đổ mồ hôi, nhiều nhất là trong khi bú tốc độ tăng trưởng chậm, thiếu cân nặng so với chuẩn khó bú và kém ăn luôn trong trạng thái mệt mỏi nhiều trường hợp trẻ bị bệnh không xuất hiện triệu chứng ngay sau sinh. đến khi trẻ lớn hơn mới có biểu hiện bệnh. lúc này, cần can thiệp điều trị càng sớm càng tốt để hạn chế biến chứng.","khó thở
tăng trưởng chậm
thiếu cân nặng
khó bú
quá kém ăn","mỏi nhiều trường hợp trẻ bị
mệt mỏi",trong khi bú tốc độ,Q24.9,Bệnh tim bẩm sinh khác,0.7213
